Файл /var/www/container/log/room_temp.log существует
Директория /var/www/container/log существует
Директория /var/www/container/log/archive существует
Файл /var/www/container/log/container.log существует
Файл /var/www/container/log/room_temp.log существует
2022-05-10_22:03:35 Директория /var/www/container/log существует
2022-05-10_22:03:35 Директория /var/www/container/log/archive существует
2022-05-10_22:03:35 Файл /var/www/container/log/container.log существует
2022-05-10_22:03:35 Файл /var/www/container/log/room_temp.log существует
2022-05-10_22:33:52 Директория /var/www/container/log существует
2022-05-10_22:33:52 Директория /var/www/container/log/archive существует
2022-05-10_22:33:52 Файл /var/www/container/log/container.log существует
2022-05-10_22:33:52 Файл /var/www/container/log/room_temp.log существует
2022-05-10_22:38:25 Директория /var/www/container/log существует
2022-05-10_22:38:25 Директория /var/www/container/log/archive существует
2022-05-10_22:38:25 Файл /var/www/container/log/container.log существует
2022-05-10_22:38:25 Файл /var/www/container/log/room_temp.log существует
2022-05-10_22:52:27 Директория /var/www/container/log существует
2022-05-10_22:52:27 Директория /var/www/container/log/archive существует
2022-05-10_22:52:27 Файл /var/www/container/log/container.log существует
2022-05-10_22:52:27 Файл /var/www/container/log/room_temp.log существует
2022-05-10_22:52:45 Вы указали больше строчек чем существует в файле /var/log/syslog
2022-05-10_22:52:55 Вы указали больше строчек чем существует в файле /var/www/container/log/container.log
2022-05-14_12:28:53 Директория /var/www/container/log существует
2022-05-14_12:28:53 Директория /var/www/container/log/archive существует
2022-05-14_12:28:53 Файл /var/www/container/log/container.log существует
2022-05-14_12:28:53 Файл /var/www/container/log/room_temp.log существует
2022-05-29_22:34:21 Директория /var/www/container/log существует
2022-05-29_22:34:21 Директория /var/www/container/log/archive существует
2022-05-29_22:34:21 Файл /var/www/container/log/container.log существует
2022-05-29_22:34:21 Файл /var/www/container/log/room_temp.log существует
2022-05-30_18:38:51 Директория /var/www/container/log существует
2022-05-30_18:38:51 Директория /var/www/container/log/archive существует
2022-05-30_18:38:51 Файл /var/www/container/log/container.log существует
2022-05-30_18:38:51 Файл /var/www/container/log/room_temp.log существует
2022-09-13_19:30:33 Директория /var/www/container/log существует
2022-09-13_19:30:33 Директория /var/www/container/log/archive существует
2022-09-13_19:30:33 Файл /var/www/container/log/container.log существует
2022-09-13_19:30:33 Файл /var/www/container/log/room_temp.log существует
2022-09-13_19:31:17 Вы указали больше строчек чем существует в файле /var/log/syslog
2022-09-13_23:56:55 Директория /var/www/container/log существует
2022-09-13_23:56:55 Директория /var/www/container/log/archive существует
2022-09-13_23:56:55 Файл /var/www/container/log/container.log существует
2022-09-13_23:56:55 Файл /var/www/container/log/room_temp.log существует
2022-09-14_00:08:21 Директория /var/www/container/log существует
2022-09-14_00:08:21 Директория /var/www/container/log/archive существует
2022-09-14_00:08:21 Файл /var/www/container/log/container.log существует
2022-09-14_00:08:21 Файл /var/www/container/log/room_temp.log существует
2022-09-15_22:22:02 Директория /var/www/container/log существует
2022-09-15_22:22:02 Директория /var/www/container/log/archive существует
2022-09-15_22:22:02 Файл /var/www/container/log/container.log существует
2022-09-15_22:22:02 Файл /var/www/container/log/room_temp.log существует
2022-09-15_22:22:33 Директория /var/www/container/log существует
2022-09-15_22:22:33 Директория /var/www/container/log/archive существует
2022-09-15_22:22:33 Файл /var/www/container/log/container.log существует
2022-09-15_22:22:33 Файл /var/www/container/log/room_temp.log существует
2022-10-20_15:51:50 Директория /var/www/container/log существует
2022-10-20_15:51:50 Директория /var/www/container/log/archive существует
2022-10-20_15:51:50 Файл /var/www/container/log/container.log существует
2022-10-20_15:51:50 Файл /var/www/container/log/room_temp.log существует
2022-10-20_15:52:22 Директория /var/www/container/log существует
2022-10-20_15:52:22 Директория /var/www/container/log/archive существует
2022-10-20_15:52:22 Файл /var/www/container/log/container.log существует
2022-10-20_15:52:22 Файл /var/www/container/log/room_temp.log существует
2022-11-07_08:43:47 Директория /var/www/container/log существует
2022-11-07_08:43:47 Директория /var/www/container/log/archive существует
2022-11-07_08:43:47 Файл /var/www/container/log/container.log существует
2022-11-07_08:43:47 Файл /var/www/container/log/room_temp.log существует
2022-11-07_08:44:18 Директория /var/www/container/log существует
2022-11-07_08:44:18 Директория /var/www/container/log/archive существует
2022-11-07_08:44:18 Файл /var/www/container/log/container.log существует
2022-11-07_08:44:18 Файл /var/www/container/log/room_temp.log существует
2022-12-15_15:18:09 Директория /var/www/container/log существует
2022-12-15_15:18:09 Директория /var/www/container/log/archive существует
2022-12-15_15:18:09 Файл /var/www/container/log/container.log существует
2022-12-15_15:18:09 Файл /var/www/container/log/room_temp.log существует
2022-12-15_15:18:42 Директория /var/www/container/log существует
2022-12-15_15:18:42 Директория /var/www/container/log/archive существует
2022-12-15_15:18:42 Файл /var/www/container/log/container.log существует
2022-12-15_15:18:42 Файл /var/www/container/log/room_temp.log существует
2023-01-07_09:28:33 Директория /var/www/container/log существует
2023-01-07_09:28:33 Директория /var/www/container/log/archive существует
2023-01-07_09:28:33 Файл /var/www/container/log/container.log существует
2023-01-07_09:28:33 Файл /var/www/container/log/room_temp.log существует
2023-01-07_09:29:07 Директория /var/www/container/log существует
